proceso_id,seccion,texto_original,pagina,archivo_pdf,fecha_extraccion
contratacion_pli_subinv,FORMULARIOS,"12    como también por la determinación y aplicabilidad de los formularios previstos para  el presente procedimiento, y finalmente, reemplazarán todo texto que conste en  paréntesis por el contenido pertinente.",12,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,CONDICIONES_PROCEDIMIENTO,"17    (Detallar los planos que se anexarán)    2.3.2. Participación ecuatoriana mínima del proyecto establecida por la  entidad contratante con base al Estudio de Desagregación Tecnológica: El  porcentaje de participación ecuatoriana mínimo exigible para el presente  procedimiento de contratación se presenta a continuación:    Descripción del  Rubro  Cantidad  Precio  Unitario  del rubro  ($)  Precio  Global  del  rubro  ($)  Precio  Relativo  del  rubro   (%)  Agregado  ecuatoriano del  Rubro (%)  Agregado  ecuatoriano  Ponderado  (%)                                            PORCENTAJE DE PARTICIPACIÓN ECUATORIANA MÍNIMO DEL  PROYECTO      SECCION III  CONDICIONES DEL PROCEDIMIENTO    3.1.  Cronograma del procedimiento: El cronograma que regirá el  procedimiento será el siguiente:     No.  Concepto  Día  Hora  1  Fecha de publicación       2  Fecha límite de preguntas      3  Fecha límite para emitir respuestas y  aclaraciones      4  Fecha límite entrega de ofertas       5  Fecha límite de apertura de ofertas       6  Fecha estimada de adjudicación        En el caso de ser necesario, el término para la convalidación de errores será de  (número de días), de acuerdo al siguiente cronograma:",17,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,"18    No.  Concepto  Día  Hora  7  Fecha límite para solicitar convalidación  de errores  8  Fecha límite para convalidación de errores  9  Fecha estimada de adjudicación    La máxima autoridad de la entidad contratante o su delegado, de considerarlo de  manera motivada, podrá cambiar el cronograma, únicamente en las fases de  preguntas, respuestas y aclaraciones. Para el efecto publicará en el Portal  COMPRASPÚBLICAS la resolución motivada respectiva y procederá con el  cambio requerido, previo a la fecha límite de la fase indicada.    3.2.  Vigencia de la oferta: Las ofertas se entenderán vigentes hasta (determinar  vigencia en días calendario). En caso de que no se señale una fecha estará vigente  hasta la celebración del contrato, de acuerdo a lo establecido en la Ley Orgánica del  Sistema Nacional de Contratación Pública.    3.3.  Precio de la oferta: Se entenderá por precio de la oferta al valor que el  oferente haga constar en el Portal COMPRASPÚBLICAS, información que se  completará a través del formulario único de la oferta.    3.3.1. Alcance del precio de la oferta: El precio de la oferta deberá cubrir el valor  de la depreciación, operación y mantenimiento de los equipos, (si son de propiedad  del oferente) y el costo de arrendamiento en el caso de ser alquilados, el costo de los  materiales, equipos y accesorios a incorporarse definitivamente en el proyecto,  mano de obra, transporte, etc.; los costos indirectos, los impuestos y tasas vigentes;  así como, los servicios para la ejecución completa de la obra a contratarse, es decir,  todo lo necesario para entregar la obra contratada lista para ser puesta en servicio.     De existir errores aritméticos se procederá a su corrección conforme a lo previsto  en la normativa expedida por el Servicio Nacional de Contratación Pública para el  efecto.    3.4.  Forma de presentar la oferta: La oferta se deberá presentar a través del  Portal de COMPRASPÚBLICAS.",18,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,"20    SECCIÓN IV  VERIFICACIÓN Y EVALUACIÓN DE LAS OFERTAS    4.1.  Verificación de las ofertas: Para la verificación del cumplimiento de  integridad y requisitos mínimos, se estará a la metodología cumple / no  cumple.    4.1.1. Integridad de las ofertas: La integridad de las ofertas consiste en la  verificación de la presentación de los formularios previstos en el pliego de  acuerdo al siguiente detalle:    I. Formulario Único de la Oferta    1.1. Presentación y compromiso  1.2. Datos generales del oferente.  1.3. Nómina de accionistas, partícipes o socios mayoritarios de personas  jurídicas y declaración de beneficiario final.  1.4. Situación financiera  1.5. Tabla de descripción de rubros, unidades, cantidades y precios  1.6. Análisis de precios unitarios  1.7. Metodología de construcción  1.8. Cronograma valorado de trabajos  1.9. Experiencia del oferente  1.10.  Personal técnico propuesto para el proyecto  1.11.  Equipo asignado al proyecto  1.12 Participación ecuatoriana para el proyecto, propuesta por el oferente    II. Formulario de compromiso de cumplimiento de parámetros en etapa  contractual    2.1. Compromiso de cumplimiento de parámetros en etapa contractual:  equipo mínimo requerido; personal técnico mínimo requerido y  experiencia mínima del personal técnico; y, metodología.    III. Formulario de compromiso de asociación o consorcio (de ser  procedente)",20,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,"21    IV. Formulario de compromiso de subcontratación (de ser procedente)    Observaciones: (La entidad contratante podrá determinar las observaciones que  considere)    4.1.2. Equipo mínimo:    No.   Equipo y/o instrumentos  Cantidad  Características                            4.1.3. Personal técnico mínimo:    No.  Función  Nivel de  Estudio  Titulación  Académica  Cantidad              4.1.4. Experiencia general y específica mínima:    a. La entidad contratante definirá con precisión cuál es la experiencia mínima  que deberá acreditar el oferente, de acuerdo al cumplimiento de las  condiciones en relación a los montos mínimos requeridos para cada tipo de  experiencia; se definirá exactamente qué tipo de obras se aceptarán como  experiencia general y cuales como experiencia específica; así como el  instrumento por el que se demostrará la misma.    b. Para la determinación del cumplimiento de la experiencia general y  específica mínima se estará a lo establecido, por el Servicio Nacional de  Contratación Pública para los procedimientos de contratación.    c. La experiencia específica mínima deberá estar directamente relacionada con  el objeto de la contratación.",21,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,24      4.1.5. Experiencia mínima del personal técnico:    No.  Función  Nivel de  estudio  Titulación  Académica  Cantidad                        No.  Descripción  Tiempo  Número de  Proyectos  Monto de  Proyectos                        4.1.6. Patrimonio: (Aplicable a personas jurídicas)    4.1.7. Metodología de construcción     La entidad contratante deberá especificar los aspectos puntuales que el oferente  deberá cumplir como parte de la metodología de construcción. Este requisito será  exigido en pliego pero no será considerado como un parámetro de verificación de la  oferta ni será objeto de evaluación por puntaje.    4.1.8. Cronograma de ejecución del proyecto:     El cronograma de ejecución de la obra será presentado por el oferente y verificado  por la entidad contratante conforme lo establecido en este pliego.    4.1.9. Verificación de cumplimiento de integridad y requisitos mínimos de la  oferta:    PARÁMETRO  CUMPLE  NO CUMPLE  OBSERVACIONES  Integridad de la oferta        Equipo mínimo      Este parámetro se considerará  cumplido  con  la  sola  presentación del Formulario de,24,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,25    compromiso de cumplimiento  de  parámetros  en  etapa  contractual.  Personal  técnico  mínimo      Este parámetro se considerará  cumplido  con  la  sola  presentación del Formulario de  compromiso de cumplimiento  de  parámetros  en  etapa  contractual.  Experiencia  General  mínima        Experiencia Específica  mínima        Experiencia mínima del  personal técnico      Este parámetro se considerará  cumplido  con  la  sola  presentación del Formulario de  compromiso de cumplimiento  de  parámetros  en  etapa  contractual.  Patrimonio  (Personas  Jurídicas)        Metodología  de  ejecución de la obra      Este parámetro se considerará  cumplido  con  la  sola  presentación del Formulario de  compromiso de cumplimiento  de  parámetros  en  etapa  contractual.  Cronograma  de  ejecución de la obra        Porcentaje  de  participación  ecuatoriana  mínimo  (Desagregación  Tecnológica),25,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,"32      En las planillas de ejecución de trabajos o avance de obra, se incluirán los  resultados de verificación de origen de los componentes y elementos (mano de  obra, materiales, equipos y servicios) utilizados para la ejecución de los trabajos a  ser planillados, declarado por la Fiscalización con base a la supervisión in situ de  los trabajos, las facturas de provisión de materiales y servicios, y formularios de  pago de aportes al IESS de la mano de obra.    5.4.2. Facturación y reajuste: El contratista preparará las planillas, las cuales se  pondrán a consideración de la fiscalización en los (número de días) de cada  (período), y serán aprobadas por ella en el término de (número de días), luego de lo  cual, en forma inmediata, se continuará el trámite de autorización del administrador  del contrato y solo con dicha autorización se procederá al pago.     A cada planilla se adjuntarán los anexos de medidas, ensayos de suelos y  materiales, aprobaciones y otros que correspondan.    Además, el contratista presentará con las planillas el estado de avance del  proyecto y un cuadro informativo resumen, que indicará, para cada concepto de  trabajo, el rubro, la descripción, unidad, la cantidad total y el valor total  contratado, las cantidades y el valor de los trabajos ejecutados hasta el periodo  anterior, y en el período en consideración, y la cantidad y el valor de los trabajos  acumulado hasta la fecha, incluyendo el valor de los rubros subcontratados. Estos  documentos se elaborarán según el modelo preparado por la fiscalización y serán  requisito indispensable para tramitar la planilla correspondiente.    En cada planilla de obra ejecutada, el fiscalizador o la unidad de control de cada  obra, calculará el reajuste de precios provisional, aplicando las fórmulas de reajuste  que se indican en el contrato. En el caso de aplicar el reajuste de precios, se  establecerá como fecha de partida -sub cero-, la correspondiente a los treinta (30)  días anteriores de la fecha límite de presentación de las ofertas.     El fiscalizador realizará el reajuste definitivo tan pronto se publiquen los índices del  INEC.",32,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,33                                    FORMULARIO ÚNICO DE LA OFERTA  MODELO DE PLIEGO DE LOS PROCEDIMIENTOS DE LICITACIÓN  DE OBRAS  Versión 2023-001,33,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,"34      MODELO DE PLIEGO DE LOS PROCEDIMIENTOS DE LICITACIÓN DE  OBRAS  Versión 2023-001    III. FORMULARIOS DE LICITACIÓN DE OBRAS     SECCIÓN I  FORMULARIO ÚNICO DE LA OFERTA  1.1.  PRESENTACIÓN Y COMPROMISO  1.2.  DATOS GENERALES DEL OFERENTE  1.3.  NÓMINA DE ACCIONISTAS, PARTÍCIPES O SOCIOS  MAYORITARIOS DE PERSONAS JURÍDICAS Y DECLARACIÓN DE  BENEFICIARIO FINAL.  1.4.  SITUACIÓN FINANCIERA  1.5.  TABLA DE DESCRIPCIÓN DE RUBROS, UNIDADES,  CANTIDADES Y PRECIOS  1.6.  ANÁLISIS DE PRECIOS UNITARIOS  1.7.  METODOLOGÍA DE CONSTRUCCIÓN  1.8.  CRONOGRAMA VALORADO DE TRABAJOS  1.9.  EXPERIENCIA DEL OFERENTE  1.10. PERSONAL TÉCNICO PROPUESTO PARA EL PROYECTO  1.11. EQUIPO ASIGNADO AL PROYECTO  SECCIÓN II     FORMULARIO DE COMPROMISO DE CUMPLIMIENTO DE  PARÁMETROS EN ETAPA CONTRACTUAL  2.1. Compromiso de cumplimiento de parámetros en etapa contractual:  equipo mínimo requerido; personal técnico mínimo requerido y  experiencia del personal técnico; metodología  SECCIÓN III    FORMULARIO DE COMPROMISO DE ASOCIACIÓN O  CONSORCIO  SECCIÓN IV  FORMULARIO DE COMPROMISO PARA SUBCONTRATACIÓN",34,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,"35    SECCIÓN I  FORMULARIO ÚNICO DE LA OFERTA    NOMBRE DEL OFERENTE:  ……………………………………………………….    1.1.  PRESENTACIÓN Y COMPROMISO    El que suscribe, en atención a la convocatoria efectuada por (nombre de la  entidad contratante) para la ejecución de (nombre de la obra o proyecto), luego  de examinar el pliego del presente procedimiento de ejecución de obras, al  presentar esta oferta por (sus propios derechos, si es persona natural) /  (representante legal o apoderado de si es persona jurídica), (procurador común  si se trata de asociación o consorcio) declara que:    1.  La única persona o personas interesadas en esta oferta está o están  nombradas en ella, sin que incurra en actos de ocultamiento o simulación  con el fin de que no aparezcan sujetos inhabilitados para contratar con el  Estado.    2.  La oferta la hace en forma independiente y sin conexión abierta u oculta  con otra u otras personas, compañías o grupos participantes en este  procedimiento de ejecución de obras     3. Al presentar esta oferta, cumple con toda la normativa general, sectorial y  especial aplicable a su actividad económica, profesión, ciencia u oficio; y,  que los equipos vehículos y materiales que se incorporarán a la obra, así  como los que se utilizarán para su ejecución, en caso de adjudicación del  contrato, serán de propiedad del oferente o arrendados y contarán con todos  los permisos que se requieran para su utilización.    4. Suministrará la mano de obra, equipos y materiales requeridos para la  construcción del proyecto, de acuerdo con el pliego, realizará las obras en el  plazo y por los precios unitarios indicados en el Formulario Único de la  Oferta; que, al presentar esta oferta, ha considerado todos los costos  obligatorios que debe y deberá asumir en la ejecución contractual,  especialmente aquellos relacionados con obligaciones sociales, laborales, de  seguridad social, ambientales y tributarias vigentes.    5. Acepta que en el caso de que se comprobare una violación a los  compromisos establecidos en el presente Formulario, la entidad contratante",35,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,"36    le descalifique como oferente, o dé por terminado en forma inmediata el  contrato, observando el debido proceso, para lo cual se allana a responder  por los daños y perjuicios que tales violaciones hayan ocasionado.    6. Conoce las condiciones del sitio de la obra, ha estudiado los planos,  especificaciones técnicas y demás información del pliego, las aclaraciones y  respuestas realizadas en el proceso, y en esa medida renuncia a cualquier  reclamo posterior, aduciendo desconocimiento por estas causas.    7. Entiende que las cantidades indicadas en el Formulario de Oferta para este  proyecto son solamente aproximadas y, por tanto sujetas a aumento o  disminución, por lo que está dispuesto a efectuar los aumentos y/o  disminuciones de las cantidades requeridas que fueren necesarios, a los  precios unitarios de la oferta, y dentro de los límites indicados en los planos  y especificaciones técnicas, y utilizando la modalidad que aplique de  acuerdo con la Ley Orgánica del Sistema Nacional de Contratación Pública.    8. De  resultar  adjudicatario,  manifiesta  que  suscribirá  el  contrato  comprometiéndose a ejecutar la obra sobre la base de los estudios con los  que cuente la entidad contratante, los mismos que declara conocerlos; y en  tal virtud, no podrá aducir error, falencia o cualquier inconformidad de  dichos estudios, como causal para solicitar ampliación del plazo,  contratación de rubros nuevos o contratos complementarios.    9. Garantiza la veracidad y exactitud de la información y documentación  proporcionada; así como de las declaraciones realizadas para el presente  procedimiento de contratación, inclusive aquellas respecto de la calidad de  productor nacional; contenidas en los documentos de la oferta, formularios  y otros anexos.     10. No contratará a personas menores de edad para realizar actividad alguna  durante la ejecución contractual; y que, en caso de que las autoridades del  ramo determinaren o descubrieren tal práctica, se someterán y aceptarán las  sanciones que de tal práctica puedan derivarse, incluso la terminación  unilateral y anticipada del contrato, con las consecuencias legales y  reglamentarias pertinentes.    11. Declaro que en calidad de oferente, no me encuentro incurso en las  inhabilidades generales y especiales para contratar, establecidas en la  LOSNCP y su Reglamento General y demás normativa aplicable.",36,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,"37    12. Declaro libre y voluntariamente que la procedencia de los fondos y  recursos utilizados para el presente procedimiento de contratación pública  son de origen lícito; para lo cual, proporcionaré a la entidad contratante, al  Servicio Nacional de Contratación Pública y a los organismos de control   competentes, la información necesaria referente al representante legal, en  el caso de personas jurídicas; o, del procurador común de los compromisos  de asociación o consorcio o de las asociaciones o consorcios constituidos;  así como de sus socios o partícipes, hasta identificar a la última persona  natural. Información que le permitirá a la entidad contratante, al Servicio  Nacional de Contratación Pública y a los organismos de control  competentes, verificar que el oferente se encuentra debidamente habilitado  para participar del presente procedimiento de contratación pública.    13. Así también, en la letra C, del numeral 1.3 de la Sección I del presente  formulario, declaro la identidad de la persona natural que será el  beneficiario final de los recursos públicos y/o quien ejerza el control de las  cuentas bancarias relacionadas o inmersas en el flujo de los recursos  públicos obtenidos como consecuencia del contrato respectivo.     14. El oferente adjudicatario, una vez suscrito el contrato, acepta presentar al  inicio de la ejecución contractual, la documentación relacionada con el  equipo mínimo requerido por la entidad contratante en los pliegos; la  documentación relacionada con el personal técnico mínimo y su  experiencia; y, la presentación de la metodología de ejecución, conforme  los cronogramas de incorporación de equipo y personal operativo de  acuerdo al cronograma valorado de la oferta.    15. Así mismo, declaro conocer que toda la información relacionada con los  pagos recibidos como contratista o subcontratista del Estado; así como, sus  movimientos financieros, tendrán el carácter de públicos y deberán ser  difundidos a través de un portal de información o página web destinada para  el efecto, que permitan detectar con certeza el flujo de los fondos públicos.  No se podrá alegar reserva tributaria, societaria, bursátil ni bancaria sobre  este tipo de información.    16. Según el caso, se deberá agregar los siguientes numerales:    *(Si el oferente fuere extranjero, se añadirá un literal que dirá: d)  Previamente a la firma del contrato, el oferente se compromete a  domiciliarse en el país conforme lo dispone la Ley de Compañías; y, a  obtener el RUP).",37,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,"38      *(Si el lugar donde se va a ejecutar la obra o se destinarán los bienes y/o  servicios objeto de la contratación pertenece al ámbito territorial  determinado en la Ley Orgánica para la Planificación Integral de la  Circunscripción Territorial Especial Amazónica, se agregará un numeral  que dirá:  El oferente, de resultar adjudicado, declara y acepta que para la  ejecución del contrato, contará con al menos el 70% de servicios o mano de  obra de residentes de esa Circunscripción, con excepción de aquellas  actividades para las que no exista personal calificado o que el bien sea de  imposible manufacturación en esa Circunscripción.)     Para constancia de lo ofertado, suscribo este formulario,            -------------------------------------------------------  FIRMA DEL OFERENTE, SU REPRESENTANTE LEGAL, APODERADO  O PROCURADOR COMÚN (según el caso) **    (LUGAR Y FECHA)    1.2.  DATOS GENERALES DEL OFERENTE.    NOMBRE DEL OFERENTE: (determinar si es persona natural, jurídica,  consorcio o asociación; en este último caso, se identificará a los miembros del  consorcio o asociación. Se determinará al representante legal, apoderado o  procurador común, de ser el caso).    DATOS GENERALES DEL OFERENTE    Participación:    Nombre del oferente:    Origen:    R.U.C.    Naturaleza:",38,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
contratacion_pli_subinv,FORMULARIOS,"41    Los accionistas, partícipes o socios mayoritarios de cada uno de los oferentes que  sean personas jurídicas, deberán completar el siguiente cuadro:        Nombres completos  del accionista,  partícipe o socio  mayoritario de la  persona jurídica  Número de cédula de  ciudadanía, RUC o  identificación similar  emitida por país  extranjero, de ser el caso  Porcentaje de  participación en la  estructura de  propiedad  de la persona jurídica  Domicilio  Fiscal            NOTA: Este apartado aplica únicamente para personas jurídicas. En el caso que  requiera mayor desglose deberá incluirlo como anexo en su oferta. De no incluir  dicha información será causal de descalificación.    C. DECLARACIÓN DE BENEFICIARIO FINAL     Declaro que las siguientes personas naturales, son los beneficiarios finales del flujo  de recursos públicos en el presente procedimiento de contratación pública:    Nombre  Cédula/Pasaporte  Nacionalidad  Nro. (s) de  Cuenta (s)   Institución  Financiera               NOTA: Este apartado debe llenarse obligatoriamente en todos los casos, sin  importar si el oferente es persona natural o persona jurídica, de conformidad con  lo señalado en la Normativa Secundaria.    1.4.  SITUACIÓN FINANCIERA    La situación financiera del oferente se demostrará con la presentación del  formulario de declaración de impuesto a la renta del ejercicio fiscal inmediato  anterior que fue entregada al Servicio de Rentas Internas SRI.    El participante presentará la información requerida por la entidad contratante para  los índices financieros por ella solicitada, conforme el siguiente cuadro:",41,8-RESOLUCIONsercop-2023-0138pliegosyreformas-signed.pdf,2025-09-24
